n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
10, 4000, 8, 0, 10, 103246994, 46930.45181818182, 5798.0, 0, nan, nan, 0
10, 4000, 15, 0, 10, 850846097, 386748.2259090909, 70173.0, 0, nan, nan, 0
10, 8000, 1, 0, 1, 2023725, 9198.75, 4030.5, 0, nan, nan, 0
10, 8000, 2, 0, 1, 3458767, 15721.668181818182, 9149.0, 0, nan, nan, 0
10, 8000, 4, 0, 1, 5589172, 25405.327272727274, 8033.5, 0, nan, nan, 0
10, 8000, 8, 0, 1, 17949452, 81588.41818181818, 10669.0, 0, nan, nan, 0
10, 8000, 15, 0, 1, 34725458, 157842.9909090909, 15484.5, 0, nan, nan, 0
10, 8000, 1, 0, 5, 4053309, 3684.8263636363636, 2395.5, 0, nan, nan, 0
10, 8000, 2, 0, 5, 9489808, 8627.098181818183, 5621.5, 0, nan, nan, 0
10, 8000, 4, 0, 5, 14736715, 13397.013636363636, 5201.5, 0, nan, nan, 0
10, 8000, 8, 0, 5, 35977943, 32707.22090909091, 5709.0, 0, nan, nan, 0
10, 8000, 15, 0, 5, 96076561, 87342.32818181819, 8343.5, 0, nan, nan, 0
10, 8000, 1, 0, 10, 6779575, 3081.625, 2383.5, 0, nan, nan, 0
10, 8000, 2, 0, 10, 14664127, 6665.512272727273, 5744.0, 0, nan, nan, 0
10, 8000, 4, 0, 10, 21925042, 9965.928181818183, 5013.5, 0, nan, nan, 0
10, 8000, 8, 0, 10, 59227622, 26921.646363636362, 5542.5, 0, nan, nan, 0
10, 8000, 15, 0, 10, 249603894, 113456.31545454546, 7187.5, 0, nan, nan, 0
10, 16000, 1, 0, 1, 1981288, 9005.854545454546, 5896.5, 0, nan, nan, 0
10, 16000, 2, 0, 1, 6634069, 30154.859090909093, 11776.0, 0, nan, nan, 0
10, 16000, 4, 0, 1, 8274098, 37609.53636363636, 9599.0, 0, nan, nan, 0
10, 16000, 8, 0, 1, 14910255, 67773.88636363637, 11829.5, 0, nan, nan, 0
10, 16000, 15, 0, 1, 41093660, 186789.36363636365, 29352.5, 0, nan, nan, 0
10, 16000, 1, 0, 5, 3651791, 3319.81, 2191.0, 0, nan, nan, 0
10, 16000, 2, 0, 5, 9379049, 8526.408181818182, 5445.5, 0, nan, nan, 0
10, 16000, 4, 0, 5, 11921884, 10838.076363636364, 5176.0, 0, nan, nan, 0
10, 16000, 8, 0, 5, 28283279, 25712.07181818182, 5591.5, 0, nan, nan, 0
10, 16000, 15, 0, 5, 75646308, 68769.37090909091, 6236.0, 0, nan, nan, 0
10, 16000, 1, 0, 10, 8339943, 3790.883181818182, 2438.0, 0, nan, nan, 0
10, 16000, 2, 0, 10, 16763126, 7619.602727272727, 5713.5, 0, nan, nan, 0
10, 16000, 4, 0, 10, 20680386, 9400.175454545455, 5035.5, 0, nan, nan, 0
10, 16000, 8, 0, 10, 45138872, 20517.66909090909, 5270.0, 0, nan, nan, 0
10, 16000, 15, 0, 10, 135913876, 61779.034545454546, 5947.0, 0, nan, nan, 0
10, 32000, 1, 0, 1, 2022070, 9191.227272727272, 6523.0, 0, nan, nan, 0
10, 32000, 2, 0, 1, 12696548, 57711.58181818182, 12607.5, 0, nan, nan, 0
10, 32000, 4, 0, 1, 8598474, 39083.972727272725, 10636.0, 0, nan, nan, 0
10, 32000, 8, 0, 1, 20292267, 92237.57727272727, 16093.0, 0, nan, nan, 0
10, 32000, 15, 0, 1, 38770002, 176227.28181818183, 19782.5, 0, nan, nan, 0
10, 32000, 1, 0, 5, 5926359, 5387.599090909091, 3256.5, 0, nan, nan, 0
10, 32000, 2, 0, 5, 14240453, 12945.866363636364, 6399.5, 0, nan, nan, 0
10, 32000, 4, 0, 5, 25932897, 23575.36090909091, 5861.5, 0, nan, nan, 0
10, 32000, 8, 0, 5, 22280617, 20255.106363636365, 5983.5, 0, nan, nan, 0
10, 32000, 15, 0, 5, 48410796, 44009.814545454545, 6167.0, 0, nan, nan, 0
10, 32000, 1, 0, 10, 8310208, 3777.367272727273, 2748.5, 0, nan, nan, 0
10, 32000, 2, 0, 10, 19412935, 8824.061363636363, 6030.0, 0, nan, nan, 0
10, 32000, 4, 0, 10, 21023110, 9555.959090909091, 5170.5, 0, nan, nan, 0
10, 32000, 8, 0, 10, 32288676, 14676.67090909091, 5582.0, 0, nan, nan, 0
10, 32000, 15, 0, 10, 74896210, 34043.73181818182, 5988.5, 0, nan, nan, 0
20, 500, 1, 0, 1, 6087207, 3952.731818181818, 3443.5, 0, nan, nan, 0
20, 500, 2, 0, 1, 22611853, 14683.021428571428, 5879.0, 0, nan, nan, 0
20, 500, 4, 0, 1, 31302211, 20326.11103896104, 7076.0, 0, nan, nan, 0
20, 500, 8, 0, 1, 437710100, 284227.33766233764, 232566.0, 0, nan, nan, 0
20, 500, 15, 0, 1, 1227910910, 797344.7467532468, 748708.0, 0, nan, nan, 0
20, 500, 1, 0, 5, 17900221, 2324.704025974026, 1839.0, 0, nan, nan, 0
20, 500, 2, 0, 5, 60286702, 7829.441818181818, 5165.0, 0, nan, nan, 0
20, 500, 8, 0, 5, 2257697113, 293207.4172727273, 255582.0, 0, nan, nan, 0
20, 500, 15, 0, 5, 4968308949, 645234.9284415585, 562735.5, 0, nan, nan, 0
20, 500, 1, 0, 10, 30684141, 1992.4766883116883, 1747.0, 0, nan, nan, 0
20, 500, 2, 0, 10, 86300071, 5603.9007142857145, 3806.5, 0, nan, nan, 0
20, 500, 4, 0, 10, 644811428, 41870.87194805195, 10811.5, 0, nan, nan, 0
20, 500, 8, 0, 10, 5208887933.0, 338283.40907910117, 251799.0, 0, nan, nan, 0
20, 500, 15, 0, 10, 11808403740, 766779.4636363636, 699116.5, 0, nan, nan, 0
20, 1000, 1, 0, 1, 5911312, 3838.5142857142855, 3273.0, 0, nan, nan, 0
20, 1000, 2, 0, 1, 27951925, 18150.60064935065, 7209.0, 0, nan, nan, 0
20, 1000, 4, 0, 1, 28399629, 18441.317532467532, 7018.0, 0, nan, nan, 0
20, 1000, 8, 0, 1, 85425010, 55470.78571428572, 24004.0, 0, nan, nan, 0
20, 1000, 15, 0, 1, 1000586079, 649731.2201298701, 575158.0, 0, nan, nan, 0
20, 1000, 1, 0, 5, 18777477, 2438.6333766233765, 2181.5, 0, nan, nan, 0
20, 1000, 2, 0, 5, 72580225, 9426.003246753247, 5480.0, 0, nan, nan, 0
20, 1000, 4, 0, 5, 190880284, 24789.647272727274, 7167.0, 0, nan, nan, 0
20, 1000, 8, 0, 5, 1382492976, 179544.54233766234, 151277.5, 0, nan, nan, 0
20, 1000, 15, 0, 5, 5844336471, 759004.7364935065, 670091.5, 0, nan, nan, 0
20, 1000, 1, 0, 10, 38381258, 2492.2894805194805, 1996.0, 0, nan, nan, 0
20, 1000, 2, 0, 10, 137963178, 8958.647922077922, 5227.0, 0, nan, nan, 0
20, 1000, 4, 0, 10, 430697583, 27967.37551948052, 6329.0, 0, nan, nan, 0
20, 1000, 8, 0, 10, 3970074738, 257797.0609090909, 194691.5, 0, nan, nan, 0
20, 1000, 15, 0, 10, 8065756486.0, 523818.44953890116, 479794.0, 0, nan, nan, 0
20, 2000, 1, 0, 1, 6201061, 4026.662987012987, 3445.0, 0, nan, nan, 0
20, 2000, 2, 0, 1, 33412518, 21696.44025974026, 8514.0, 0, nan, nan, 0
20, 2000, 4, 0, 1, 34491692, 22397.202597402596, 8920.0, 0, nan, nan, 0
20, 2000, 8, 0, 1, 50514927, 32801.900649350646, 9354.5, 0, nan, nan, 0
