n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
500, 8000, 2, 0, 1, 13253969, 26507.938, 9031.5, 0, nan, nan, 0
500, 8000, 4, 0, 1, 11446606, 22893.212, 7018.0, 0, nan, nan, 0
500, 8000, 8, 0, 1, 8915008, 17830.016, 6151.5, 0, nan, nan, 0
500, 8000, 15, 0, 1, 35895175, 71790.35, 13125.5, 0, nan, nan, 0
500, 8000, 1, 0, 5, 7749994, 3099.9976, 2148.0, 0, nan, nan, 0
500, 8000, 2, 0, 5, 16445172, 6578.0688, 5164.0, 0, nan, nan, 0
500, 8000, 4, 0, 5, 32317238, 12926.8952, 5395.5, 0, nan, nan, 0
500, 8000, 8, 0, 5, 48543209, 19417.2836, 5508.5, 0, nan, nan, 0
500, 8000, 15, 0, 5, 118580473, 47432.1892, 6538.5, 0, nan, nan, 0
500, 8000, 1, 0, 10, 14876511, 2975.3022, 2348.0, 0, nan, nan, 0
500, 8000, 2, 0, 10, 37143352, 7428.6704, 5062.0, 0, nan, nan, 0
500, 8000, 4, 0, 10, 45062561, 9012.5122, 5139.0, 0, nan, nan, 0
500, 8000, 8, 0, 10, 72174876, 14434.9752, 5100.0, 0, nan, nan, 0
500, 8000, 15, 0, 10, 305122916, 61024.5832, 8266.0, 0, nan, nan, 0
500, 16000, 1, 0, 1, 4852136, 9704.272, 7093.0, 0, nan, nan, 0
500, 16000, 2, 0, 1, 16254683, 32509.366, 9997.5, 0, nan, nan, 0
500, 16000, 4, 0, 1, 17277360, 34554.72, 9985.5, 0, nan, nan, 0
500, 16000, 8, 0, 1, 12028686, 24057.372, 7274.0, 0, nan, nan, 0
500, 16000, 15, 0, 1, 19154841, 38309.682, 10129.5, 0, nan, nan, 0
500, 16000, 1, 0, 5, 9579448, 3831.7792, 2745.0, 0, nan, nan, 0
500, 16000, 2, 0, 5, 24004865, 9601.946, 5355.5, 0, nan, nan, 0
