n, t, workers, frac, accesses, time
500, 64000, 15, 0, 5, 2.1937450328841805
500, 64000, 1, 0, 10, 32.12408919259906
500, 64000, 2, 0, 10, 16.093253707513213
500, 64000, 4, 0, 10, 8.052861248143017
500, 64000, 8, 0, 10, 4.061530842445791
500, 64000, 15, 0, 10, 2.2002671007066965
1000, 500, 1, 0, 1, 0.6833214638754725
1000, 500, 2, 0, 1, 0.3139115581288934
1000, 500, 4, 0, 1, 0.1712378030642867
1000, 500, 8, 0, 1, 0.11215267516672611
1000, 500, 15, 0, 1, 0.1468637464568019
1000, 500, 1, 0, 5, 0.7062807399779558
1000, 500, 2, 0, 5, 0.337796906940639
1000, 500, 4, 0, 5, 0.20327438320964575
1000, 500, 8, 0, 5, 0.17546186409890652
1000, 500, 15, 0, 5, 0.25902792904525995
1000, 500, 1, 0, 10, 0.7388461614027619
1000, 500, 2, 0, 10, 0.3988607684150338
1000, 500, 4, 0, 10, 0.24123923294246197
1000, 500, 8, 0, 10, 0.2739298203960061
1000, 500, 15, 0, 10, 0.3137557515874505
1000, 1000, 1, 0, 1, 1.1992178168147802
1000, 1000, 2, 0, 1, 0.5621398007497191
1000, 1000, 4, 0, 1, 0.29396566189825535
1000, 1000, 8, 0, 1, 0.1545838275924325
1000, 1000, 15, 0, 1, 0.15178349614143372
1000, 1000, 1, 0, 5, 1.2245742427185178
1000, 1000, 2, 0, 5, 0.5880435910075903
1000, 1000, 4, 0, 5, 0.30944060906767845
1000, 1000, 8, 0, 5, 0.20254795905202627
1000, 1000, 15, 0, 5, 0.2748078275471926
1000, 1000, 1, 0, 10, 1.2442376827821136
1000, 1000, 2, 0, 10, 0.6235992591828108
1000, 1000, 4, 0, 10, 0.3432660959661007
1000, 1000, 8, 0, 10, 0.2751282760873437
1000, 1000, 15, 0, 10, 0.39954699017107487
1000, 2000, 1, 0, 1, 2.19410992693156
1000, 2000, 2, 0, 1, 1.0661950940266252
1000, 2000, 4, 0, 1, 0.5441000396385789
1000, 2000, 8, 0, 1, 0.28020470310002565
1000, 2000, 15, 0, 1, 0.16933349799364805
1000, 2000, 1, 0, 5, 2.21653691586107
1000, 2000, 2, 0, 5, 1.0946764219552279
1000, 2000, 4, 0, 5, 0.5574152385815978
1000, 2000, 8, 0, 5, 0.2977231042459607
1000, 2000, 15, 0, 5, 0.25389581359922886
1000, 2000, 1, 0, 10, 2.1747856847941875
1000, 2000, 2, 0, 10, 1.1296886606141925
1000, 2000, 4, 0, 10, 0.5766718713566661
1000, 2000, 8, 0, 10, 0.3255098043009639
1000, 2000, 15, 0, 10, 0.41402352415025234
1000, 4000, 1, 0, 1, 4.138757065869868
1000, 4000, 2, 0, 1, 2.084643056616187
1000, 4000, 4, 0, 1, 1.0542690930888057
1000, 4000, 8, 0, 1, 0.5306438142433763
1000, 4000, 15, 0, 1, 0.29534535948187113
1000, 4000, 1, 0, 5, 4.163539716973901
1000, 4000, 2, 0, 5, 2.1031910330057144
1000, 4000, 4, 0, 5, 1.0658840201795101
1000, 4000, 8, 0, 5, 0.539822175167501
1000, 4000, 15, 0, 5, 0.31523271556943655
1000, 4000, 1, 0, 10, 4.250318329781294
1000, 4000, 2, 0, 10, 2.13757018186152
1000, 4000, 4, 0, 10, 1.0733258621767163
1000, 4000, 8, 0, 10, 0.5532308574765921
1000, 4000, 15, 0, 10, 0.359225332736969
1000, 8000, 1, 0, 1, 8.199782676063478
1000, 8000, 2, 0, 1, 4.080268475227058
1000, 8000, 4, 0, 1, 2.0508057102560997
1000, 8000, 8, 0, 1, 1.0329801756888628
1000, 8000, 15, 0, 1, 0.561247599311173
1000, 8000, 1, 0, 5, 8.213925520889461
1000, 8000, 2, 0, 5, 4.113076653331518
1000, 8000, 4, 0, 5, 2.0657227197661996
1000, 8000, 8, 0, 5, 1.0412412621080875
1000, 8000, 15, 0, 5, 0.5702759185805917
1000, 8000, 1, 0, 10, 8.209442131221294
1000, 8000, 2, 0, 10, 4.140085257589817
1000, 8000, 4, 0, 10, 2.085044846870005
1000, 8000, 8, 0, 10, 1.0495448932051659
1000, 8000, 15, 0, 10, 0.5804532412439585
1000, 16000, 1, 0, 1, 16.193471241742373
1000, 16000, 2, 0, 1, 8.071672012098134
1000, 16000, 4, 0, 1, 4.05519943125546
1000, 16000, 8, 0, 1, 2.0405196910724044
1000, 16000, 15, 0, 1, 1.0981316454708576
1000, 16000, 1, 0, 5, 16.20499180536717
1000, 16000, 2, 0, 5, 8.110852296464145
1000, 16000, 4, 0, 5, 4.0726627092808485
1000, 16000, 8, 0, 5, 2.041603049263358
1000, 16000, 15, 0, 5, 1.1060664150863886
1000, 16000, 1, 0, 10, 16.214699416421354
1000, 16000, 2, 0, 10, 8.135390429757535
1000, 16000, 4, 0, 10, 4.0869133193045855
1000, 16000, 8, 0, 10, 2.054573757573962
1000, 16000, 15, 0, 10, 1.1136000137776136
1000, 32000, 1, 0, 1, 32.16381592396647
1000, 32000, 2, 0, 1, 16.097607674077153
1000, 32000, 4, 0, 1, 8.054946002550423
1000, 32000, 8, 0, 1, 4.038845303468406
1000, 32000, 15, 0, 1, 2.1809652764350176
1000, 32000, 1, 0, 5, 32.22550639230758
1000, 32000, 2, 0, 5, 16.11955049354583
1000, 32000, 4, 0, 5, 8.07298827636987
1000, 32000, 8, 0, 5, 4.047196017578244
1000, 32000, 15, 0, 5, 2.1798650631681085
1000, 32000, 1, 0, 10, 32.25070059020072
1000, 32000, 2, 0, 10, 16.149276512674987
1000, 32000, 4, 0, 10, 8.091150721535087
1000, 32000, 8, 0, 10, 4.054262070916593
1000, 32000, 15, 0, 10, 2.1902582962065935
1000, 64000, 1, 0, 1, 64.13730889838189
1000, 64000, 2, 0, 1, 32.10845351126045
1000, 64000, 4, 0, 1, 16.056739820167422
1000, 64000, 8, 0, 1, 8.035922043956816
1000, 64000, 15, 0, 1, 4.325867343693972
1000, 64000, 1, 0, 5, 64.22628639265895
1000, 64000, 2, 0, 5, 32.1266864836216
1000, 64000, 4, 0, 5, 16.07504176814109
1000, 64000, 8, 0, 5, 8.045038900338113
1000, 64000, 15, 0, 5, 4.3327178042382
1000, 64000, 1, 0, 10, 64.23913124017417
1000, 64000, 2, 0, 10, 32.14971255045384
1000, 64000, 4, 0, 10, 16.09452228527516
1000, 64000, 8, 0, 10, 8.054794107563794
1000, 64000, 15, 0, 10, 4.33322411775589
500, 500, 1, 0.0125, 1, 0.3426030883565545
500, 500, 2, 0.0125, 1, 0.15861202031373978
500, 500, 4, 0.0125, 1, 0.0848128767684102
500, 500, 8, 0.0125, 1, 0.05709283612668514
500, 500, 15, 0.0125, 1, 0.08394755609333515
500, 500, 1, 0.0125, 5, 0.3477282412350178
500, 500, 2, 0.0125, 5, 0.1970243202522397
500, 500, 4, 0.0125, 5, 0.10489483084529638
500, 500, 8, 0.0125, 5, 0.09309024829417467
500, 500, 15, 0.0125, 5, 0.1355164796113968
500, 500, 1, 0.0125, 10, 0.3653827803209424
500, 500, 2, 0.0125, 10, 0.20613171439617872
500, 500, 4, 0.0125, 10, 0.12811655644327402
500, 500, 8, 0.0125, 10, 0.13530681654810905
500, 500, 15, 0.0125, 10, 0.16093257442116737
500, 1000, 1, 0.0125, 1, 0.5966888125985861
500, 1000, 2, 0.0125, 1, 0.2830604063346982
500, 1000, 4, 0.0125, 1, 0.15070414915680885
500, 1000, 8, 0.0125, 1, 0.08291072491556406
500, 1000, 15, 0.0125, 1, 0.08427451271563768
500, 1000, 1, 0.0125, 5, 0.6053050775080919
500, 1000, 2, 0.0125, 5, 0.29909145273268223
500, 1000, 4, 0.0125, 5, 0.1586350854486227
500, 1000, 8, 0.0125, 5, 0.10425558686256409
500, 1000, 15, 0.0125, 5, 0.15124889090657234
500, 1000, 1, 0.0125, 10, 0.6146653546020389
500, 1000, 2, 0.0125, 10, 0.30471423640847206
500, 1000, 4, 0.0125, 10, 0.17220257315784693
500, 1000, 8, 0.0125, 10, 0.1396705936640501
500, 1000, 15, 0.0125, 10, 0.22819459531456232
500, 2000, 1, 0.0125, 1, 1.0932411383837461
500, 2000, 2, 0.0125, 1, 0.5432864706963301
500, 2000, 4, 0.0125, 1, 0.28133032377809286
500, 2000, 8, 0.0125, 1, 0.1447106171399355
500, 2000, 15, 0.0125, 1, 0.08790604118257761
500, 2000, 1, 0.0125, 5, 1.102565098553896
500, 2000, 2, 0.0125, 5, 0.5503913471475244
500, 2000, 4, 0.0125, 5, 0.2825255524367094
500, 2000, 8, 0.0125, 5, 0.15167859382927418
500, 2000, 15, 0.0125, 5, 0.15745477378368378
500, 2000, 1, 0.0125, 10, 1.1116956621408463
500, 2000, 2, 0.0125, 10, 0.558779876679182
500, 2000, 4, 0.0125, 10, 0.290493493899703
500, 2000, 8, 0.0125, 10, 0.16505073010921478
500, 2000, 15, 0.0125, 10, 0.21568245626986027
500, 4000, 1, 0.0125, 1, 2.112175814807415
500, 4000, 2, 0.0125, 1, 1.0613633077591658
500, 4000, 4, 0.0125, 1, 0.5449757417663932
500, 4000, 8, 0.0125, 1, 0.27507713716477156
500, 4000, 15, 0.0125, 1, 0.15195192955434322
500, 4000, 1, 0.0125, 5, 2.1122575933113694
500, 4000, 2, 0.0125, 5, 1.0524350441992283
500, 4000, 4, 0.0125, 5, 0.533443596214056
500, 4000, 8, 0.0125, 5, 0.27495960984379053
500, 4000, 15, 0.0125, 5, 0.1632493892684579
500, 4000, 1, 0.0125, 10, 2.092884724959731
500, 4000, 2, 0.0125, 10, 1.06351612880826
500, 4000, 4, 0.0125, 10, 0.5374394590035081
